"","V1","V2","V3","V4","V5","V6","V7","V8"
"189",0,0.1390074558,-0.0025102757,-0.0023811497,-1.2e-06,0.0860763108,12.3612804147,1.343597639
"190",0,0.1815361202,-0.0025135227,-0.0023952163,-1.4e-06,0.8457989811,12.3618588474,1.3428299457
"191",0,0.0953681222,-0.0014463918,-0.0023987732,-1.4e-06,1.3496444222,12.3609862441,1.3439135471
"192",0.0300760541,0.0973016822,-0.0010982998,-0.0023996498,-2.3e-06,1.350277319,12.3620199208,1.3442558095
"193",0.1353422459,0.2272150918,-0.0011040072,-0.0024010451,-2.8e-06,1.3456845815,12.3621882439,1.3437844554
"194",0,0.1036466508,-0.0011071167,-0.0024036885,-2e-06,1.3478085015,12.3622014949,1.3442372544
"195",0,0.171962014,-0.0011082075,-0.0023985116,-1.7e-06,1.3468893872,12.3614188498,1.3452980559
"196",0,0.168093046,-0.0011053075,-0.0023885778,-1.4e-06,1.3487898197,12.3612375264,1.3463456337
"197",0,0.1026082616,-0.0011061075,-0.0023841686,-2.9e-06,1.347238919,12.3617827969,1.3460551628
"198",0,0.1652527705,-0.0011097088,-0.0024003913,-9e-07,1.3488610433,12.3622087916,1.346548009
"199",0,0.1767553774,-0.0011090976,-0.0024002888,-2.2e-06,1.3473297373,12.3619611725,1.3443561833
"200",0,0.0948421925,-0.0011118174,-0.0024059718,-2.3e-06,1.347737073,12.3612779714,1.3420123334
"201",0,0.2296537157,-0.0011045075,-0.0024206113,-2.6e-06,1.347989269,12.361837554,1.3401036289
"202",0,0.1189554612,-0.0011000979,-0.0024133144,-1.5e-06,1.3492711242,12.3616205586,1.3411825209
"203",0.1333908742,0.0947992081,-0.0022847401,-0.0024094076,-2e-06,1.3487598845,12.361571408,1.3408835126
"204",0.1721041311,0.4655689958,-0.0014790095,-0.0023992396,-2.3e-06,1.3477220336,12.361112292,1.3413308054
"205",0.171232179,0.2130419213,-0.0011093075,-0.0023993376,0,1.3489276967,12.3611665421,1.3399027905
"206",0.1701472877,0.0959080179,-0.0011148075,-0.0024053006,-2.6e-06,1.3494616364,12.361505725,1.3394889578
"207",0.1704473529,0.2494513687,-0.0023595422,-0.00240037,-1.5e-06,1.3493116412,12.3624934894,1.3102801053
"208",0.1710455833,0.1003574255,-0.0024980512,-0.0023980939,-1.4e-06,1.3482924444,12.3619153238,1.3022864015
"209",0.1711098665,0.1052178563,-0.0025007791,-0.0023947003,-1.7e-06,1.3483388707,12.3616527207,1.3379977504
"210",0.1707631488,0.2423438108,-0.0025119449,-0.0023995201,-1.4e-06,1.347960174,12.3615426175,1.3375693323
"211",0.1707872169,0.0950133808,-0.0025069104,-0.0023925591,-1.7e-06,1.348329185,12.3619950815,1.3380839642
"212",0.1701702618,0.2023116381,-0.0025032334,-0.0023870431,-6e-07,1.3478847037,12.3609610626,1.337888908
"213",0.1708384081,0.1499404786,-0.0024971952,-0.002377903,-1.4e-06,1.3493234899,12.3621686883,1.3377416118
"214",0.1712686467,0.0950527855,-0.0024964822,-0.0023743215,-2e-06,1.3480833281,12.3604470319,1.3372003452
"215",0.1715901903,0.2545976159,-0.001437243,-0.0023860369,-2.6e-06,1.3465028662,12.3618058801,1.3365231643
"216",0.1638046741,0.06318773,-0.0023446226,-0.0024195709,-2.6e-06,1.3488945982,12.3673920229,1.337065238
"217",0.1604412639,-0.2516001563,-0.0024974616,-0.002400636,-2.3e-06,1.3464748754,12.3608216731,1.3375687173
"218",0.1589489628,-0.3050248731,-0.0025195954,-0.0024070881,-1.4e-06,1.3474460384,12.362183056,1.3378717857
"219",0.1556529789,-0.2098357393,-0.0025099726,-0.0024046113,-3.0652e-06,1.3481246446,12.3603987066,1.3374098421
"220",0.155556741,-0.3755869193,-0.0025025037,-0.0023995413,-1.3348e-06,1.348822157,12.3605670199,1.3380048294
"221",0.1558205364,-0.2080514114,-0.0024932851,-0.0023729769,-3e-07,1.3481364288,12.3635550362,1.3392962177
"222",0.1555860596,-0.32511727,-0.0024990981,-0.0024269511,-1.1e-06,1.347806354,12.3622924142,1.3397060195
"223",0.1560697437,-0.5564412411,-0.0024952447,-0.0024185715,-9e-07,1.3472991796,12.3623097079,1.338424736
"224",0.1563755012,-0.6112444057,-0.0024928671,-0.0023971472,-6e-07,1.3464616761,12.3621236208,1.3365439976
"225",0.1575098207,-0.6209516901,-0.0024963019,-0.0023551144,-5e-07,1.3464951026,12.3611965908,1.3366056234
"226",0.1560874624,-0.3902600425,-0.0024990542,-0.0022447765,-1.2e-06,1.3466848988,12.3617148666,1.3368986621
"227",0.1559308954,-0.6210037535,-0.0025008883,-0.0020767016,-1.4e-06,1.3470958325,12.361460223,1.3367731529
"228",0.1481665823,-1.3468663817,-0.0024988946,-0.0019714237,-1.1e-06,1.3477112068,12.3616188502,1.3364450355
"229",0.1548676076,-2.0502190306,-0.0024928782,-0.0019941488,-1.5e-06,1.347348412,12.3617406837,1.3371480687
"230",0.154764862,-1.6455608183,-0.0024486722,-0.0019983838,0.0040905229,1.3471714967,12.3621043366,1.3414426418
"231",0.154010628,-1.7823437249,-0.0022306207,0.0396891866,0.0099391686,1.3472867518,12.3617356511,1.3410467358
